Rank,Model,R2,RMSE,MAE
1,Polynomial Regression,0.9683259262975952,739.6388491557273,461.9327713735801
2,Random Forest Regression,0.9631669331086452,797.6028434683715,430.2350505952381
3,Gradient Boosting Regression,0.9609589150366682,821.1617127452329,454.6823672792746
4,Linear Regression,0.9356691298622072,1054.0894473348665,678.685115609321
5,Lasso Regression,0.935665348347753,1054.120427763836,678.6266088014632
6,Ridge Regression,0.9350944324045606,1058.7873132265831,676.8098650360788
7,ElasticNet Regression,0.932263655816184,1081.6297637715606,678.2523939719272
8,Decision Tree Regression,0.9299552212505044,1099.9061658504754,632.4218000960665
9,KNN Regression,0.9095625468303632,1249.8040121021645,679.4490476190475
10,Support Vector Regression,-0.0897391087912691,4338.394304957834,2670.464439299138
